Record_ID,Store_Name,Store_Street_Address,Additonal_Address,City,State,Zip_Code,Zip4,County,Store_Type,Latitude,Longitude,Incentive_Program,Grantee_Name,ObjectId,geometry
1625088,Carniceria Novillo,1619 N 59th Ave,Ste 4,Phoenix,AZ,85035,5102,MARICOPA,Supermarket,33.466923,-112.18543,NA,NA,271,"c(-112.18543, 33.466923)"
1137517,Cremeria La Ordena 2,3810 W Lawrence Ave,NA,Chicago,IL,60625,6206,COOK,Grocery Store,41.968315,-87.72377,NA,NA,1576,"c(-87.72377, 41.968315)"
1640994,Evans Food & More Inc.,1853 E 71st St,NA,Chicago,IL,60649,2018,COOK,Grocery Store,41.765915,-87.579155,NA,NA,1690,"c(-87.579155, 41.765915)"
254467,Jewel Food Store 3455,4355 N Sheridan Rd,NA,Chicago,IL,60613,1497,COOK,Supermarket,41.961384,-87.654655,NA,NA,2006,"c(-87.654655, 41.961384)"
243342,FRY'S 79,2626 S 83rd Ave,NA,Phoenix,AZ,85043,7207,MARICOPA,Super Store,33.423901,-112.23867,NA,NA,2155,"c(-112.23867, 33.423901)"
244293,LA HEREFORD ROMAN,4002 N 67th Ave,Ste 2,Phoenix,AZ,85033,4037,MARICOPA,Grocery Store,33.49379,-112.20328,NA,NA,2234,"c(-112.20328, 33.49379)"
249916,Supermer Y Carniceria El Ranchito,2414 W 47th St,NA,Chicago,IL,60632,1336,COOK,Grocery Store,41.808674,-87.685234,NA,NA,2348,"c(-87.685234, 41.808674)"
246061,Whole Foods Market 10172,10810 N Tatum Blvd,NA,Phoenix,AZ,85028,6055,MARICOPA,Super Store,33.584911,-111.97803,NA,NA,3154,"c(-111.97803, 33.584911)"
246359,HONEY BEE (LA COLMENA) MARKET,2443 Bagley St,NA,Detroit,MI,48216,1815,WAYNE,Super Store,42.325859,-83.076439,NA,NA,3180,"c(-83.076439, 42.325859)"
267108,Kurowski Sausage Shop & Rich,2976 N Milwaukee Ave,NA,Chicago,IL,60618,7345,COOK,Grocery Store,41.935211,-87.718056,NA,NA,3275,"c(-87.718056, 41.935211)"
248389,ALDI 62083 62083,8333 S Cicero Ave,NA,Chicago,IL,60652,3562,COOK,Supermarket,41.741074,-87.741028,NA,NA,3453,"c(-87.741028, 41.741074)"
269138,Jewel Food Store 3441,2940 N Ashland Ave,NA,Chicago,IL,60657,4004,COOK,Supermarket,41.93515,-87.668571,NA,NA,3835,"c(-87.668571, 41.93515)"
247115,Saturn Super Foods,20221 Joy Rd,NA,Detroit,MI,48228,1636,WAYNE,Supermarket,42.357491,-83.238968,NA,NA,3913,"c(-83.238968, 42.357491)"
1573913,Urban Chilli 1,18425 N 19th Ave,Ste 110,Phoenix,AZ,85023,1386,MARICOPA,Grocery Store,33.653328,-112.09843,NA,NA,4012,"c(-112.09843, 33.653328)"
238469,Jewel Food Store 230,7530 S Stony Island Ave,NA,Chicago,IL,60649,3914,COOK,Supermarket,41.757832,-87.586174,NA,NA,4111,"c(-87.586174, 41.757832)"
237000,Jewel Food Store 3181,87 W 87th St,NA,Chicago,IL,60620,1315,COOK,Supermarket,41.73624,-87.626495,NA,NA,4203,"c(-87.626495, 41.73624)"
238733,Food City 135,5114 W McDowell Rd,NA,Phoenix,AZ,85035,3862,MARICOPA,Super Store,33.466038,-112.1698,NA,NA,4427,"c(-112.1698, 33.466038)"
226444,ALDI 40004 40004,800 N Kedzie Ave,Ste 122,Chicago,IL,60651,4100,COOK,Supermarket,41.895607,-87.706619,NA,NA,4980,"c(-87.706619, 41.895607)"
229576,Best Farmers Market LLC,4825 N 27th Ave,NA,Phoenix,AZ,85017,3603,MARICOPA,Grocery Store,33.508476,-112.11692,NA,NA,5306,"c(-112.11692, 33.508476)"
263399,FRY'S 628,3949 E Chandler Blvd,NA,Phoenix,AZ,85048,0302,MARICOPA,Super Store,33.305065,-111.99894,NA,NA,5593,"c(-111.99894, 33.305065)"
230172,ALDI 40026 40026,2600 N Clybourn Ave,NA,Chicago,IL,60614,1004,COOK,Supermarket,41.928886,-87.674263,NA,NA,5620,"c(-87.674263, 41.928886)"
261467,FRY'S 81,2250 E Baseline Rd,NA,Phoenix,AZ,85042,6947,MARICOPA,Super Store,33.37788,-112.03316,NA,NA,5959,"c(-112.03316, 33.37788)"
